"name","latitude","longitude"
"Nicotiana glauca Graham",37.225763,-1.828858
"Nicotiana glauca Graham",39.537167,-0.462878
"Nicotiana glauca Graham",37.573793,-1.201256
"Nicotiana glauca Graham",38.165839,-5.372534
"Nicotiana glauca Graham",39.593137,-0.452626
"Nicotiana glauca Graham",28.90421,-13.769633
"Nicotiana glauca Graham",37.59192,-1.002327
"Nicotiana glauca Graham",36.731601,-4.460645
"Nicotiana glauca Graham",37.479834,-1.466587
"Nicotiana glauca Graham",42.288893,3.274623
"Nicotiana glauca Graham",37.789631,-0.834797
"Nicotiana glauca Graham",38.153341,-6.215114
"Nicotiana glauca Graham",37.337883,-4.842172
"Nicotiana glauca Graham",37.583232,-1.667535
"Nicotiana glauca Graham",39.57267,-0.393777
"Nicotiana glauca Graham",38.02436,-1.149188
"Nicotiana glauca Graham",42.287069,3.276081
"Nicotiana glauca Graham",28.864091,-13.840498
"Nicotiana glauca Graham",37.955712,-0.707847
"Nicotiana glauca Graham",28.676837,-17.928333
"Nicotiana glauca Graham",37.271365,-6.525741
"Nicotiana glauca Graham",37.370018,-1.672752
"Nicotiana glauca Graham",39.361955,-0.454067
"Nicotiana glauca Graham",38.43404,-0.812588
"Nicotiana glauca Graham",37.759876,-3.7938
"Nicotiana glauca Graham",38.43404,-0.812588
"Nicotiana glauca Graham",37.728455,-6.176378
"Nicotiana glauca Graham",38.245398,-0.53028
"Nicotiana glauca Graham",38.245483,-0.530372
"Nicotiana glauca Graham",36.749335,-3.517613
"Nicotiana glauca Graham",28.459064,-16.302612
"Nicotiana glauca Graham",28.010253,-16.671383
"Nicotiana glauca Graham",36.840096,-2.868438
"Nicotiana glauca Graham",38.242838,-0.807162
"Nicotiana glauca Graham",28.303272,-16.442647
"Nicotiana glauca Graham",42.287414,3.285586
"Nicotiana glauca Graham",28.399,-16.584579
"Nicotiana glauca Graham",36.738351,-6.436021
"Nicotiana glauca Graham",36.837803,-2.447789
"Nicotiana glauca Graham",36.636598,-6.392892
"Nicotiana glauca Graham",37.240333,-1.778662
"Nicotiana glauca Graham",37.551792,-1.170221
"Nicotiana glauca Graham",28.455525,-16.252562
"Nicotiana glauca Graham",38.040493,-1.424064
"Nicotiana glauca Graham",41.085836,1.078038
"Nicotiana glauca Graham",38.355027,-0.426974
"Nicotiana glauca Graham",38.641239,0.066351
"Nicotiana glauca Graham",37.790885,-1.488346
"Nicotiana glauca Graham",36.580593,-4.540162
"Nicotiana glauca Graham",36.719659,-4.490256
"Nicotiana glauca Graham",36.721717,-4.386258
"Nicotiana glauca Graham",36.717653,-4.478818
"Nicotiana glauca Graham",28.399251,-16.542193
"Nicotiana glauca Graham",28.464456,-16.264589
"Nicotiana glauca Graham",36.590755,-4.573797
"Nicotiana glauca Graham",36.595793,-4.572525
"Nicotiana glauca Graham",37.603037,-0.984437
"Nicotiana glauca Graham",36.710344,-6.43131
"Nicotiana glauca Graham",36.581457,-4.538818
"Nicotiana glauca Graham",38.368664,-0.535659
"Nicotiana glauca Graham",36.590803,-4.573448
"Nicotiana glauca Graham",38.313495,-0.536127
"Nicotiana glauca Graham",27.792643,-15.552302
"Nicotiana glauca Graham",38.093929,-1.076881
"Nicotiana glauca Graham",36.740099,-5.163428
"Nicotiana glauca Graham",29.004797,-13.683437
"Nicotiana glauca Graham",28.017136,-16.670447
"Nicotiana glauca Graham",28.962503,-13.701722
"Nicotiana glauca Graham",36.869492,-2.024144
"Nicotiana glauca Graham",36.589167,-4.563889
"Nicotiana glauca Graham",36.589558,-4.582876
"Nicotiana glauca Graham",41.368217,2.136592
"Nicotiana glauca Graham",41.368183,2.136805
"Nicotiana glauca Graham",38.630566,-0.867503
"Nicotiana glauca Graham",38.17976,-1.378977
"Nicotiana glauca Graham",39.681087,-0.254182
"Nicotiana glauca Graham",28.219304,-16.756681
"Nicotiana glauca Graham",36.766689,-3.849812
"Nicotiana glauca Graham",37.661024,-5.526626
"Nicotiana glauca Graham",37.309033,-1.88495
"Nicotiana glauca Graham",40.876457,0.713683
"Nicotiana glauca Graham",28.231663,-16.84194
"Nicotiana glauca Graham",36.764492,-3.849658
"Nicotiana glauca Graham",38.632778,0.075278
"Nicotiana glauca Graham",38.39712,-0.444894
"Nicotiana glauca Graham",28.373321,-16.678399
"Nicotiana glauca Graham",41.262445,1.930512
"Nicotiana glauca Graham",36.815484,-2.428294
"Nicotiana glauca Graham",38.757077,0.149182
"Nicotiana glauca Graham",37.546185,-1.808733
"Nicotiana glauca Graham",36.402601,-6.17069
"Nicotiana glauca Graham",38.022342,-1.148189
"Nicotiana glauca Graham",39.601568,-0.445655
"Nicotiana glauca Graham",36.885772,-2.005447
"Nicotiana glauca Graham",41.401515,2.195742
"Nicotiana glauca Graham",36.513234,-4.70455
"Nicotiana glauca Graham",39.47,-0.365
"Nicotiana glauca Graham",42.295178,3.287065
"Nicotiana glauca Graham",42.295464,3.286806
"Nicotiana glauca Graham",29.042872,-13.723279
"Nicotiana glauca Graham",42.295464,3.286806
"Nicotiana glauca Graham",37.137715,-1.854256
"Nicotiana glauca Graham",38.313606,-0.515773
"Nicotiana glauca Graham",36.406667,-6.218333
"Nicotiana glauca Graham",38.009169,-0.667075
"Nicotiana glauca Graham",40.060158,0.10256
"Nicotiana glauca Graham",38.054904,-1.273285
"Nicotiana glauca Graham",28.873646,-13.84602
"Nicotiana glauca Graham",36.59513,-6.271278
"Nicotiana glauca Graham",28.124597,-16.779679
"Nicotiana glauca Graham",38.599941,-1.120762
"Nicotiana glauca Graham",36.723088,-4.157458
"Nicotiana glauca Graham",39.499145,-0.427868
"Nicotiana glauca Graham",36.721128,-4.416158
"Nicotiana glauca Graham",28.068056,-16.704722
"Nicotiana glauca Graham",37.4025,-5.963333
"Nicotiana glauca Graham",41.043316,0.731705
"Nicotiana glauca Graham",35.889167,-5.308056
"Nicotiana glauca Graham",28.578056,-16.177778
"Nicotiana glauca Graham",37.980488,-1.135412
"Nicotiana glauca Graham",38.007453,-0.668529
"Nicotiana glauca Graham",38.968664,-0.448661
"Nicotiana glauca Graham",37.563446,-1.323695
"Nicotiana glauca Graham",39.072039,-0.607712
"Nicotiana glauca Graham",37.602247,-0.9851
"Nicotiana glauca Graham",29.155095,-13.481589
"Nicotiana glauca Graham",39.649456,-0.425414
"Nicotiana glauca Graham",38.023916,-1.205739
"Nicotiana glauca Graham",38.128295,-1.311755
"Nicotiana glauca Graham",37.586283,-1.068114
"Nicotiana glauca Graham",41.369141,2.135185
"Nicotiana glauca Graham",36.576207,-6.211703
"Nicotiana glauca Graham",37.523523,-4.651797
"Nicotiana glauca Graham",28.118528,-15.445094
"Nicotiana glauca Graham",28.119875,-15.441064
"Nicotiana glauca Graham",38.689434,-0.961818
"Nicotiana glauca Graham",36.727451,-3.726217
"Nicotiana glauca Graham",29.043872,-13.718593
"Nicotiana glauca Graham",38.641077,0.060999
"Nicotiana glauca Graham",28.676586,-13.842376
"Nicotiana glauca Graham",42.286119,3.285211
"Nicotiana glauca Graham",28.094691,-17.336329
"Nicotiana glauca Graham",28.093943,-14.413626
"Nicotiana glauca Graham",36.766783,-3.849853
"Nicotiana glauca Graham",36.766783,-3.849847
"Nicotiana glauca Graham",39.689658,-0.202324
"Nicotiana glauca Graham",37.188145,-4.455287
"Nicotiana glauca Graham",36.393777,-5.27991
"Nicotiana glauca Graham",36.764602,-2.10462
"Nicotiana glauca Graham",42.287793,3.275827
"Nicotiana glauca Graham",28.454702,-16.291547
"Nicotiana glauca Graham",36.935561,-5.267311
"Nicotiana glauca Graham",38.23218,-0.545681
"Nicotiana glauca Graham",28.578056,-16.178056
"Nicotiana glauca Graham",38.632817,0.07544
"Nicotiana glauca Graham",38.413778,-0.397637
"Nicotiana glauca Graham",38.338208,-0.495045
"Nicotiana glauca Graham",36.727307,-4.421131
"Nicotiana glauca Graham",28.642362,-17.896943
"Nicotiana glauca Graham",28.100008,-17.328883
"Nicotiana glauca Graham",28.57142,-16.317958
"Nicotiana glauca Graham",28.032142,-16.560847
"Nicotiana glauca Graham",28.57142,-16.317958
"Nicotiana glauca Graham",28.47366,-13.900278
"Nicotiana glauca Graham",36.701089,-3.415475
"Nicotiana glauca Graham",36.714109,-4.343064
"Nicotiana glauca Graham",36.72933,-4.66705
"Nicotiana glauca Graham",36.884235,-2.01747
"Nicotiana glauca Graham",36.658233,-4.49005
